АВС/ DEF;От;До;Емкость;Оператор;Регион
901;2654348;2654348;1;Ростелеком;Пермский край
901;2654349;2654412;64;РТ-Мобайл;Пермский край
901;2654413;2654413;1;Ростелеком;Пермский край
901;2654414;2654726;313;РТ-Мобайл;Пермский край
901;2654727;2654736;10;Ростелеком;Пермский край
901;2654737;2654797;61;РТ-Мобайл;Пермский край
901;2654798;2654798;1;Ростелеком;Пермский край
901;2654799;2654902;104;РТ-Мобайл;Пермский край
901;2654903;2654903;1;Ростелеком;Пермский край
901;2654904;2654965;62;РТ-Мобайл;Пермский край
901;2654966;2654966;1;Ростелеком;Пермский край
901;2654967;2654978;12;РТ-Мобайл;Пермский край
901;2654979;2654979;1;Ростелеком;Пермский край
901;2654980;2654985;6;РТ-Мобайл;Пермский край
901;2654986;2654986;1;Ростелеком;Пермский край
901;2654987;2655017;31;РТ-Мобайл;Пермский край
901;2655018;2655018;1;Ростелеком;Пермский край
901;2655019;2655151;133;РТ-Мобайл;Пермский край
901;2655152;2655152;1;Ростелеком;Пермский край
901;2655153;2655161;9;РТ-Мобайл;Пермский край
901;2655162;2655162;1;Ростелеком;Пермский край
901;2655163;2655737;575;РТ-Мобайл;Пермский край
901;2655738;2655738;1;Ростелеком;Пермский край
901;2655739;2656430;692;РТ-Мобайл;Пермский край
901;2656431;2656431;1;Ростелеком;Пермский край
901;2656432;2656449;18;РТ-Мобайл;Пермский край
901;2656450;2656450;1;Ростелеком;Пермский край
901;2656451;2656452;2;РТ-Мобайл;Пермский край
901;2656453;2656453;1;Ростелеком;Пермский край
901;2656454;2656499;46;РТ-Мобайл;Пермский край
901;2656500;2656500;1;Ростелеком;Пермский край
901;2656501;2656525;25;РТ-Мобайл;Пермский край
901;2656526;2656526;1;Ростелеком;Пермский край
901;2656527;2656644;118;РТ-Мобайл;Пермский край
901;2656645;2656645;1;Ростелеком;Пермский край
901;2656646;2656668;23;РТ-Мобайл;Пермский край
901;2656669;2656669;1;Ростелеком;Пермский край
901;2656670;2656988;319;РТ-Мобайл;Пермский край
901;2656989;2656989;1;Ростелеком;Пермский край
