АВС/ DEF;От;До;Емкость;Оператор;Регион
812;5708028;5708028;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5708029;5708052;24;Ростелеком;Санкт - Петербург
812;5708053;5708053;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5708054;5710475;2422;Ростелеком;Санкт - Петербург
812;5710476;5710476;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5710477;5710763;287;Ростелеком;Санкт - Петербург
812;5710764;5710764;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5710765;5710862;98;Ростелеком;Санкт - Петербург
812;5710863;5710863;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5710864;5711260;397;Ростелеком;Санкт - Петербург
812;5711261;5711261;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5711262;5711366;105;Ростелеком;Санкт - Петербург
812;5711367;5711367;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5711368;5711418;51;Ростелеком;Санкт - Петербург
812;5711419;5711419;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5711420;5711561;142;Ростелеком;Санкт - Петербург
812;5711562;5711562;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5711563;5711623;61;Ростелеком;Санкт - Петербург
812;5711624;5711624;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5711625;5711743;119;Ростелеком;Санкт - Петербург
812;5711744;5711744;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5711745;5711873;129;Ростелеком;Санкт - Петербург
812;5711874;5711874;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5711875;5711983;109;Ростелеком;Санкт - Петербург
812;5711984;5711984;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5711985;5712350;366;Ростелеком;Санкт - Петербург
812;5712351;5712351;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5712352;5712451;100;Ростелеком;Санкт - Петербург
812;5712452;5712452;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5712453;5712511;59;Ростелеком;Санкт - Петербург
812;5712512;5712512;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5712513;5712761;249;Ростелеком;Санкт - Петербург
812;5712762;5712762;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5712763;5713114;352;Ростелеком;Санкт - Петербург
812;5713115;5713115;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5713116;5713805;690;Ростелеком;Санкт - Петербург
812;5713806;5713806;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5713807;5713886;80;Ростелеком;Санкт - Петербург
812;5713887;5713887;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5713888;5713994;107;Ростелеком;Санкт - Петербург
812;5713995;5713995;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5713996;5714205;210;Ростелеком;Санкт - Петербург
812;5714206;5714206;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5714207;5714405;199;Ростелеком;Санкт - Петербург
812;5714406;5714406;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5714407;5714901;495;Ростелеком;Санкт - Петербург
812;5714902;5714902;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5714903;5714924;22;Ростелеком;Санкт - Петербург
812;5714925;5714925;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5714926;5715723;798;Ростелеком;Санкт - Петербург
812;5715724;5715724;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5715725;5716092;368;Ростелеком;Санкт - Петербург
812;5716093;5716093;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
