79012653409;79012653410;РТ-Мобайл;RT-Mobail;
79012653411;79012653411;Ростелеком;Rostelekom;
79012653412;79012653415;РТ-Мобайл;RT-Mobail;
79012653416;79012653416;Ростелеком;Rostelekom;
79012653417;79012653471;РТ-Мобайл;RT-Mobail;
79012653472;79012653472;Ростелеком;Rostelekom;
79012653473;79012653474;РТ-Мобайл;RT-Mobail;
79012653475;79012653475;Ростелеком;Rostelekom;
79012653476;79012653478;РТ-Мобайл;RT-Mobail;
79012653479;79012653479;Ростелеком;Rostelekom;
79012653480;79012653496;РТ-Мобайл;RT-Mobail;
79012653497;79012653497;Ростелеком;Rostelekom;
79012653498;79012653501;РТ-Мобайл;RT-Mobail;
79012653502;79012653502;Ростелеком;Rostelekom;
79012653503;79012653532;РТ-Мобайл;RT-Mobail;
79012653533;79012653533;Ростелеком;Rostelekom;
79012653534;79012653582;РТ-Мобайл;RT-Mobail;
79012653583;79012653583;Ростелеком;Rostelekom;
79012653584;79012653657;РТ-Мобайл;RT-Mobail;
79012653658;79012653658;Ростелеком;Rostelekom;
79012653659;79012653673;РТ-Мобайл;RT-Mobail;
79012653674;79012653674;Ростелеком;Rostelekom;
79012653675;79012653702;РТ-Мобайл;RT-Mobail;
79012653703;79012653703;Ростелеком;Rostelekom;
79012653704;79012653711;РТ-Мобайл;RT-Mobail;
79012653712;79012653712;Ростелеком;Rostelekom;
79012653713;79012653713;РТ-Мобайл;RT-Mobail;
79012653714;79012653714;Ростелеком;Rostelekom;
79012653715;79012653756;РТ-Мобайл;RT-Mobail;
79012653757;79012653757;Ростелеком;Rostelekom;
79012653758;79012653838;РТ-Мобайл;RT-Mobail;
79012653839;79012653839;Ростелеком;Rostelekom;
79012653840;79012653968;РТ-Мобайл;RT-Mobail;
79012653969;79012653969;Ростелеком;Rostelekom;
79012653970;79012654019;РТ-Мобайл;RT-Mobail;
79012654020;79012654020;Ростелеком;Rostelekom;
79012654021;79012654121;РТ-Мобайл;RT-Mobail;
79012654122;79012654122;Ростелеком;Rostelekom;
79012654123;79012654150;РТ-Мобайл;RT-Mobail;
79012654151;79012654151;Ростелеком;Rostelekom;
79012654152;79012654154;РТ-Мобайл;RT-Mobail;
79012654155;79012654155;Ростелеком;Rostelekom;
79012654156;79012654212;РТ-Мобайл;RT-Mobail;
79012654213;79012654213;Ростелеком;Rostelekom;
79012654214;79012654240;РТ-Мобайл;RT-Mobail;
79012654241;79012654241;Ростелеком;Rostelekom;
79012654242;79012654271;РТ-Мобайл;RT-Mobail;
79012654272;79012654272;Ростелеком;Rostelekom;
79012654273;79012654300;РТ-Мобайл;RT-Mobail;
79012654301;79012654302;Ростелеком;Rostelekom;
79012654303;79012654347;РТ-Мобайл;RT-Mobail;
79012654348;79012654348;Ростелеком;Rostelekom;
79012654349;79012654412;РТ-Мобайл;RT-Mobail;
79012654413;79012654413;Ростелеком;Rostelekom;
79012654414;79012654726;РТ-Мобайл;RT-Mobail;
79012654727;79012654736;Ростелеком;Rostelekom;
79012654737;79012654797;РТ-Мобайл;RT-Mobail;
79012654798;79012654798;Ростелеком;Rostelekom;
79012654799;79012654902;РТ-Мобайл;RT-Mobail;
79012654903;79012654903;Ростелеком;Rostelekom;
79012654904;79012654965;РТ-Мобайл;RT-Mobail;
79012654966;79012654966;Ростелеком;Rostelekom;
79012654967;79012654978;РТ-Мобайл;RT-Mobail;
79012654979;79012654979;Ростелеком;Rostelekom;
79012654980;79012654985;РТ-Мобайл;RT-Mobail;
79012654986;79012654986;Ростелеком;Rostelekom;
79012654987;79012655017;РТ-Мобайл;RT-Mobail;
79012655018;79012655018;Ростелеком;Rostelekom;
79012655019;79012655151;РТ-Мобайл;RT-Mobail;
79012655152;79012655152;Ростелеком;Rostelekom;
79012655153;79012655161;РТ-Мобайл;RT-Mobail;
79012655162;79012655162;Ростелеком;Rostelekom;
79012655163;79012655737;РТ-Мобайл;RT-Mobail;
79012655738;79012655738;Ростелеком;Rostelekom;
79012655739;79012656430;РТ-Мобайл;RT-Mobail;
79012656431;79012656431;Ростелеком;Rostelekom;
79012656432;79012656449;РТ-Мобайл;RT-Mobail;
79012656450;79012656450;Ростелеком;Rostelekom;
79012656451;79012656452;РТ-Мобайл;RT-Mobail;
79012656453;79012656453;Ростелеком;Rostelekom;
79012656454;79012656499;РТ-Мобайл;RT-Mobail;
79012656500;79012656500;Ростелеком;Rostelekom;
79012656501;79012656525;РТ-Мобайл;RT-Mobail;
79012656526;79012656526;Ростелеком;Rostelekom;
79012656527;79012656644;РТ-Мобайл;RT-Mobail;
79012656645;79012656645;Ростелеком;Rostelekom;
79012656646;79012656668;РТ-Мобайл;RT-Mobail;
79012656669;79012656669;Ростелеком;Rostelekom;
79012656670;79012656988;РТ-Мобайл;RT-Mobail;
79012656989;79012656989;Ростелеком;Rostelekom;
79012656990;79012656994;РТ-Мобайл;RT-Mobail;
79012656995;79012656995;Ростелеком;Rostelekom;
79012656996;79012657012;РТ-Мобайл;RT-Mobail;
79012657013;79012657013;Ростелеком;Rostelekom;
79012657014;79012657457;РТ-Мобайл;RT-Mobail;
79012657458;79012657458;Ростелеком;Rostelekom;
79012657459;79012657562;РТ-Мобайл;RT-Mobail;
79012657563;79012657563;Ростелеком;Rostelekom;
79012657564;79012657651;РТ-Мобайл;RT-Mobail;
79012657652;79012657652;Ростелеком;Rostelekom;
79012657653;79012657760;РТ-Мобайл;RT-Mobail;
79012657761;79012657761;Ростелеком;Rostelekom;
79012657762;79012657991;РТ-Мобайл;RT-Mobail;
79012657992;79012657992;Ростелеком;Rostelekom;
79012657993;79012658066;РТ-Мобайл;RT-Mobail;
79012658067;79012658067;Ростелеком;Rostelekom;
79012658068;79012658161;РТ-Мобайл;RT-Mobail;
79012658162;79012658162;Ростелеком;Rostelekom;
79012658163;79012658215;РТ-Мобайл;RT-Mobail;
79012658216;79012658216;Ростелеком;Rostelekom;
79012658217;79012658286;РТ-Мобайл;RT-Mobail;
79012658287;79012658287;Ростелеком;Rostelekom;
79012658288;79012658323;РТ-Мобайл;RT-Mobail;
79012658324;79012658324;Ростелеком;Rostelekom;
79012658325;79012658428;РТ-Мобайл;RT-Mobail;
79012658429;79012658429;Ростелеком;Rostelekom;
79012658430;79012658666;РТ-Мобайл;RT-Mobail;
79012658667;79012658667;Ростелеком;Rostelekom;
79012658668;79012658668;РТ-Мобайл;RT-Mobail;
79012658669;79012658669;Ростелеком;Rostelekom;
79012658670;79012658795;РТ-Мобайл;RT-Mobail;
79012658796;79012658796;Ростелеком;Rostelekom;
79012658797;79012658919;РТ-Мобайл;RT-Mobail;
79012658920;79012658921;Ростелеком;Rostelekom;
